num,confd1,confd2,confd3,indvar1,indvar2,indvar3,indvar4,indvar5,indvar6,indvar7,,,,,,,,,,,
81,D,Y,N,Y,Y,Y,N,N,Y,Y,,,,,,,,,,,
82,D,Y,N,Y,Y,Y,N,Y,Y,Y,,,,,,,,,,,
83,A,N,Y,Y,Y,Y,Y,Y,N,Y,,,,,,,,,,,
84,D,N,N,Y,N,N,N,Y,Y,Y,,,,,,,,,,,
85,C,N,N,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,
86,B,N,N,Y,Y,N,N,Y,N,Y,,,,,,,,,,,
87,B,N,Y,Y,Y,N,N,N,Y,N,,,,,,,,,,,
88,B,N,Y,N,Y,Y,N,Y,Y,Y,,,,,,,,,,,
89,D,N,N,Y,Y,N,N,Y,Y,N,,,,,,,,,,,
90,B,N,Y,Y,Y,Y,N,Y,Y,Y,,,,,,,,,,,
91,C,N,N,Y,N,N,Y,N,Y,Y,,,,,,,,,,,
92,A,N,N,Y,Y,Y,N,Y,N,Y,,,,,,,,,,,
93,A,N,N,Y,Y,N,N,Y,Y,Y,,,,,,,,,,,
94,A,N,Y,N,Y,Y,Y,Y,N,Y,,,,,,,,,,,
95,D,N,N,Y,Y,Y,N,Y,Y,N,,,,,,,,,,,
96,A,N,Y,N,Y,Y,N,Y,Y,Y,,,,,,,,,,,
97,B,N,Y,Y,N,Y,N,Y,Y,N,,,,,,,,,,,
98,D,N,Y,Y,Y,N,N,Y,Y,Y,,,,,,,,,,,
99,B,N,N,Y,N,N,N,N,N,Y,,,,,,,,,,,
100,D,Y,N,Y,N,Y,Y,Y,Y,Y,,,,,,,,,,,
101,B,N,N,Y,N,N,N,N,N,N,,,,,,,,,,,
102,A,N,Y,Y,Y,Y,N,Y,Y,Y,,,,,,,,,,,
103,A,N,N,Y,Y,N,N,N,N,Y,,,,,,,,,,,
104,D,N,N,Y,Y,Y,N,Y,Y,Y,,,,,,,,,,,
105,A,N,N,Y,Y,Y,N,Y,Y,Y,,,,,,,,,,,
106,A,N,Y,Y,Y,Y,N,Y,N,Y,,,,,,,,,,,
