"","row1","row2","var","a","b","c","d","OR","OR_lower","OR_upper","p_midp","p_fisher","p_chi2"
"43",1,2,10,28,17,31,12,0.642643881892849,0.254883920908675,1.58153656287,0.337172249492108,0.36979618915728,0.324765575042193
"44",1,3,10,28,17,37,8,0.363193033593434,0.129682869620958,0.946845233285835,0.0380783012256847,0.0585520387342244,0.0341704726922295
"45",1,4,10,28,17,45,4,0.153259412857222,0.0395814743246021,0.468512233997795,0.000636386155250079,0.000949943010680747,0.000574208872014887
"46",2,3,10,31,12,37,8,0.565228844097109,0.195385045809547,1.55972295562522,0.272120728057875,0.313349294670851,0.257041647203245
"47",2,4,10,31,12,45,4,0.238582903051878,0.0600065224696989,0.767464917574731,0.0152155158255805,0.0251991091908816,0.0126738670538038
"48",3,4,10,37,8,45,4,0.422044116636421,0.101817980416065,1.48446593177127,0.181930282247424,0.219806013248439,0.162896003783024
"49",1,2,11,39,6,34,9,1.69764073564556,0.545315762613021,5.65523427597924,0.36265231241894,0.403458950101035,0.343459719113798
"50",1,3,11,39,6,41,4,0.644507578535941,0.148374698117606,2.50329833908981,0.526929561123451,0.739068771381993,0.502334954360502
"51",1,4,11,39,6,34,15,2.8002115139924,1.00449812824063,8.76453078659391,0.0489773925675101,0.0512480290475248,0.0445206563267359
"52",2,3,11,34,9,41,4,0.379660383274667,0.0924877602539344,1.30231458971637,0.125998359714395,0.139505783337388,0.111540097238336
"53",2,4,11,34,9,34,15,1.64880060979537,0.637823129272693,4.46537942588914,0.304766472117407,0.346073423966969,0.291337248737655
"54",3,4,11,41,4,34,15,4.34639676558907,1.405111453217,16.9058356007529,0.00953968923254944,0.0104245957426981,0.00879508929417978
