"","Year2/Year1","Year3/Year1","Year4/Year1","Year3/Year1","Year4/Year2","Year4/Year3"
"var 3","1.96051898155419*0.282621597327686","1.73382920349142*0.429869173928076","0.29197282755747*0.00601540855273874","0.884327395289685*1","0.149003407202703*8.22757215273528e-05","0.168451038149984*0.000193338940714778"
"var 4","0.584381345783051*0.283273009601101","0.912010456009333*1","2.0723141209596*0.119247717578647","1.56076952719711*0.391931548562371","3.54490776038781*0.00502422983163142","2.27219923336765*0.0770968652441372"
"var 5","2.19962539907605*0.309149376410306","2.90860224172169*0.196598505149435","1.8966866197759*0.489527882223886","1.32181092431958*0.772648732914042","0.861935130506814*1","0.652010370085601*0.565554538991262"
"var 6","1.05199477885083*1","1.45623341192515*0.757785357401006","0.910069453367971*1","1.38417207898441*0.758214308952244","0.865062938046297*1","0.624833638201264*0.541718866024673"
"var 7","0.608427992082464*0.280368528525187","0.162669398968982*0.000774576589827469","0.556268058311761*0.202419238677051","0.267343560969595*0.0195453055513456","0.914508203071051*1","3.423717805149*0.0247602667437055"
"var 8","1.21645546553318*0.801027352433031","0.31547478682848*0.0161766504288556","0.614494694911711*0.367258679294317","0.259448689914155*0.00407761332259346","0.505142866651259*0.168872623545472","1.94893880334139*0.144200863210662"
"var 9","0.966320407072059*1","0.052615103596164*0.000150611355060144","0.234967078279035*0.0105131997771912","0.0544892015755203*0.000126798478651986","0.243229888071285*0.0102594968704855","4.45802637872537*0.20609357827189"
"var 10","0.642643881892849*0.36979618915728","0.363193033593434*0.0585520387342244","0.153259412857222*0.000949943010680747","0.565228844097109*0.313349294670851","0.238582903051878*0.0251991091908816","0.422044116636421*0.219806013248439"
"var 11","1.69764073564556*0.403458950101035","0.644507578535941*0.739068771381993","2.8002115139924*0.0512480290475248","0.379660383274667*0.139505783337388","1.64880060979537*0.346073423966969","4.34639676558907*0.0104245957426981"
