"","confd2","confd3","indvar1","indvar2","indvar3","indvar4","indvar5","indvar6","indvar7"
"confd2","0","0","0","0","0","0","0","0",0
"confd3","0.23338389864324*0.000259839015779342","0","0","0","0","0","0","0",0
"indvar1","2.67549571298958*0.133512772182415","0.501003811287157*0.165246747071828","0","0","0","0","0","0",0
"indvar2","0.620294497147422*0.318293731206785","4.13549516943031*0.017392672383526","0.703988062507764*1","0","0","0","0","0",0
"indvar3","1.27364099327546*0.587291543930479","1.43377134673175*0.317728823416775","0.103846640813431*0.00289994479295299","1.13290742686915*0.80695434283826","0","0","0","0",0
"indvar4","1.53145644199688*0.221580952234392","0.958323688536793*1","0.265394607971219*0.00385793480155854","1.05002000013066*1","5.67564058372698*2.71504086438951e-05","0","0","0",0
"indvar5","0.928180555932554*0.836553068725236","1.00773629301753*1","0.620468289996562*0.575415793845512","4.45449929442206*0.00243779212636084","3.2367062470543*0.00338689728058315","4.5927411606178*0.00236907420974268","0","0",0
"indvar6","1.4406170000449*0.430632350555982","1.36817851206119*0.465144138532883","0.714571217915289*0.789444907392361","3.44333058232003*0.0119039871420367","2.60017934476883*0.0112757588592961","1.07135428394636*1","2.50309361228224*0.0405202359204293","0",0
"indvar7","0.632374169047888*0.28877197989473","3.28420432080875*0.0100118806434663","1.26725191557033*0.774485721482196","1.35102371603883*0.568289420863101","2.19849383807298*0.0595501235962223","2.62042446059195*0.0427371561037343","1.38990039282598*0.475659182999274","0.705044770150478*0.5048696748393",0
